name,group,Happy,Health,Family,Friends,Leasure Time,Politics,Religion,Work
Australia,Oceania,3.25,2.949,3.907,3.485,3.304,2.435,2.257,2.977
Taiwan,Asia,3.036,3.04,3.907,3.315,3.175,2.094,2.516,3.489
Georgia,Europe,2.717,2.346,3.978,3.756,3.179,2.692,3.734,3.653
Germany,Europe,2.926,2.912,3.768,3.451,3.081,2.331,2.036,3.145
Iraq,Asia,2.367,2.687,3.947,3.443,2.846,2.757,3.933,3.707
Jordan,Asia,3.145,3.28,3.96,3.525,3.047,2.458,3.938,3.478
Morocco,Africa,3.024,3.094,3.954,3.335,2.549,1.992,3.883,3.809
New Zealand,Oceania,3.327,3.147,3.917,3.419,3.276,2.249,2.107,3.002
Romania,Europe,2.536,2.49,3.786,2.857,2.827,1.838,3.404,3.339
Slovenia,Europe,2.922,2.637,3.849,3.4,3.268,1.802,2.289,3.357
Ukraine,Europe,2.753,2.382,3.822,3.162,2.99,2.185,2.506,3.067
Egypt,Africa,2.905,2.739,3.975,3.313,2.556,2.108,3.945,3.444
Uruguay,South America,3.135,2.93,3.881,3.306,3.25,2.072,2.403,3.553
South Korea,Asia,2.994,2.914,3.921,3.382,3.079,2.603,2.494,3.51
Brazil,South America,3.234,2.995,3.856,3.222,3.077,2.491,3.383,3.634
Peru,South America,2.927,2.513,3.792,2.698,2.909,2.049,3.18,3.639
Poland,Europe,3,2.611,3.917,3.264,3.066,2.035,3.276,3.385
Russia,Europe,2.633,2.306,3.848,3.216,2.975,2.134,2.325,3.169
South Africa,Africa,3.136,3.096,3.942,2.981,3.066,2.435,3.559,3.63
United States,North America,3.272,3.075,3.925,3.533,3.231,2.508,3.08,3.024
Argentina,South America,3.164,3.091,3.897,3.412,3.186,2.005,2.851,3.643
Chile,South America,3.08,2.71,3.884,2.71,3.285,1.763,3.028,3.482
China,Asia,2.907,2.856,3.732,3.049,2.45,2.195,1.363,3.166
India,Asia,3.007,2.833,3.875,3.183,2.637,2.136,3.158,3.559
Japan,Asia,3.092,2.57,3.857,3.341,3.047,2.627,1.607,3.234
Mexico,North America,3.477,2.82,3.93,3.097,3.353,2.379,3.39,3.806
Spain,Europe,3.034,2.947,3.872,3.424,3.317,2.081,2.232,3.329
Sweden,Europe,3.382,3.092,3.905,3.692,3.488,2.7,2.079,3.405
Turkey,Asia,3.187,2.754,3.974,3.583,3.32,2.171,3.631,3.371
Canada,North America,3.4,3.198,3.908,3.585,3.273,2.459,2.738,3.274
Moldova,Europe,2.411,2.468,3.815,2.958,2.816,2.019,2.975,3.317
Serbia,Europe,2.622,2.585,3.907,3.478,3.197,1.912,2.811,3.441
Switzerland,Europe,3.34,3.147,3.836,3.547,3.271,2.587,2.393,3.395
Vietnam,Asia,3.117,2.612,3.806,3.063,2.502,2.832,2.179,3.269
Norway,Europe,3.323,3.168,3.889,3.632,3.435,2.62,2.172,3.421
Finland,Europe,3.201,2.847,3.823,3.597,3.337,2.081,2.476,3.145
Hungary,Europe,2.887,2.672,3.807,3.18,3.134,1.954,2.209,3.358